Paises;Numero de muertes
EE.UU;543.721
Brasil;273.124
México;193.142
India;158.326
Reino Unido;125.168
Italia;101.184
Rusia;91.220
Francia;89.830
Alemania;73.560
España;72.085
Irán;61.016
Colombia;60.858
Argentina;53.493
Sudáfrica;51.110
Perú;48.484
Polonia;46.724
Indonesia;38.229
Turquía;29.290
Ucrania;27.915
Rep. Checa;22.865
Canadá;22.371
Bélgica;22.370
Chile;21.362
Rumanía;21.252
Portugal;16.635
Hungría;16.627
Ecuador;16.128
Países Bajos;15.998
Irak;13.671
Pakistán;13.430
Suecia;13.111
Filipinas;12.694
Bolivia;11.903
Egipto;11.169
Bulgaria;11.094
Suiza;10.090
Austria;8.831
Marruecos;8.712
Bangladés;8.502
Japón;8.402
Túnez;8.313
Eslovaquia;8.244
Grecia;6.937
Arabia Saudí;6.551
Guatemala;6.531
Panamá;5.972
Israel;5.967
Croacia;5.647
Bosnia y Herzegovina;5.410
Líbano;5.230
Jordania;5.169
Serbia;4.644
China;4.636
Irlanda;4.509
Honduras;4.311
Moldavia;4.220
Eslovenia;3.926
Georgia;3.634
Paraguay;3.411
Lituania;3.373
Macedonia del Norte;3.265
Azerbaiyán;3.262
Armenia;3.243
Rep. Dominicana;3.204
Birmania;3.201
Argelia;3.028
Nepal;3.012
Costa Rica;2.848
Kazajistán;2.837
Etiopía;2.483
Afganistán;2.457
Dinamarca;2.384
Libia;2.340
Palestina;2.211
Bielorrusia;2.070
Albania;2.002
Nigeria;2.001
Sudán;1.940
El Salvador;1.935
Kenia;1.899
Letonia;1.737
Corea del Sur;1.662
Omán;1.600
Zimbabue;1.492
Kirguistán;1.480
Venezuela;1.415
Emiratos Árabes Unidos;1.378
Malasia;1.203
Kuwait;1.148
Zambia;1.148
Montenegro;1.113
Siria;1.085
Malaui;1.078
Senegal;951
Australia;909
Finlandia;776
Rep. Dem. del Congo;712
Mozambique;711
Estonia;695
Uruguay;683
Luxemburgo;675
Yemen;667
Suazliandia;659
Ghana;656
Noruega;639
Uzbekistán;622
Camerún;601
Sri Lanka;520
Angola;517
Baréin;478
Jamaica;475
Namibia;450
Mauritania;442
Botsuana;424
Cuba;361
Mali;359
Malta;341
Somalia;338
Uganda;334
Belice;316
Lesoto;309
Madagascar;300
Ruanda;273
Qatar;265
Haití;250
Chipre;236
Costa de Marfil;209
Guayana;206
Hong Kong;203
Bahamas;185
Níger;180
Surinam;176
Nicaragua;175
Guadalupe;162
Cabo Verde;155
Gambia;153
Chad;151
Comoras;146
Burkina Faso;143
Polinesia Francesa;141
Trinidad y Tobago;140
Congo;131
Mayotte;129
Andorra;112
Sudán del Sur;103
Guinea;101
Guinea Ecuatorial;98
Gabón;93
Togo;93
Gibraltar;93
Tayikistán;90
Guayana Francesa;87
Islas del Canal;86
Tailandia;85
Liberia;85
Benín;81
Sierra Leona;79
Aruba;77
San Marino;77
Reunión;71
Maldivas;64
Yibuti;63
Rep. Centroafricana;63
Liechtenstein;55
Guinea-Bissau;51
Martinica;47
Santa Lucía;47
Barbados;37
Vietnam;35
Santo Tomé y Príncipe;32
Singapur;29
Islandia;29
San Martín;27
Nueva Zelanda;26
Mónaco;26
Isla de Man;25
Antigua y Barbuda;25
Curazao;22
Papúa Nueva Guinea;21
Tanzania;21
Turcas y Caicos;15
PD;13
Isla de San Martín*;12
Islas Bermudas;12
Taiwán;10
Mauricio;10
San Vicente y Granadinas;8
Eritrea;7
Caribe Neerlandés;6
Mongolia;4
Burundi;3
Brunei;3
Islas Caimán;2
Fiyi;2
Camboya;1
Bután;1
Islas Feroe;1
St. Barth;1
Islas Vírgenes Británicas;1
Granada;1
Montserrat;1
